Rk,Player,ScoreURL,Games,GamesStarted,Yrs,PB,AP1,ApproxValue
1,Jahri Evans,EvanJa21,169,169,11,6,4,135
2,Matt Ryan,RyanMa00,142,142,9,4,1,135
3,Haloti Ngata,NgatHa20,162,160,11,5,2,123
4,Patrick Willis,WillPa98,112,112,8,7,5,107
5,Darrelle Revis,ReviDa99,140,140,10,7,4,105
6,Jay Cutler,CutlJa00,139,139,11,1,0,104
7,Adrian Peterson,PeteAd01,123,116,10,7,4,104
8,Joe Thomas,ThomJo28,160,160,10,10,6,104
9,Andrew Whitworth,WhitAn20,168,164,11,3,1,104
10,Brandon Marshall,MarsBr00,167,151,11,6,1,103
11,Joe Flacco,FlacJo00,138,138,9,0,0,97
12,Tamba Hali,HaliTa20,172,157,11,5,0,97
13,David Harris,HarrDa99,154,147,10,0,0,97
14,Matt Forte,FortMa00,134,133,9,2,0,94
15,Cam Newton,NewtCa00,93,92,6,3,1,94
16,Calvin Johnson,JohnCa00,135,130,9,6,3,93
17,Josh Sitton,SittJo20,134,124,9,4,0,92
18,Mario Williams,WillMa22,158,150,11,4,1,92
19,Marques Colston,ColsMa00,146,106,10,0,0,90
20,J.J. Watt,WattJ.00,83,83,6,4,4,90
21,Calais Campbell,CampCa99,138,120,9,2,0,86
22,Matthew Stafford,StafMa00,109,109,8,1,0,86
23,Nick Mangold,MangNi20,164,164,11,7,2,85
24,Marshal Yanda,YandMa20,144,133,10,6,2,85
25,Maurice Jones-Drew,DrewMa00,126,71,9,3,1,84
26,Clay Matthews,MattCl99,113,107,8,6,1,84
27,Ndamukong Suh,SuhxNd99,110,110,7,5,3,84
28,Lawrence Timmons,TimmLa99,158,126,10,1,0,84
29,Kyle Williams,WillKy20,151,146,11,5,0,84
30,Russell Wilson,WilsRu00,80,80,5,3,0,84
31,LeSean McCoy,McCoLe01,117,103,8,5,2,83
32,Eric Weddle,WeddEr99,153,138,10,4,2,83
33,Chris Johnson,JohnCh04,126,108,9,3,1,82
34,Richard Sherman,SherRi00,96,90,6,4,3,82
35,Joe Staley,StalJo20,143,143,10,5,0,82
36,Chad Greenway,GreeCh99,156,144,10,2,0,80
37,Marshawn Lynch,LyncMa00,127,114,9,5,1,80
38,Von Miller,MillVo00,88,88,6,5,3,80
39,D'Qwell Jackson,JackDQ20,141,140,10,1,0,79
40,DeSean Jackson,JackDe00,127,123,9,3,0,79
41,Ryan Kalil,KaliRy20,126,123,10,5,2,79
42,Patrick Peterson,PetePa00,96,96,6,6,3,79
43,Duane Brown,BrowDu20,132,132,9,3,1,78
44,Geno Atkins,AtkiGe99,105,89,7,5,2,77
45,Antonio Brown,BrowAn04,101,74,7,5,3,77
46,Elvis Dumervil,DumeEl20,146,99,10,5,2,77
47,Greg Jennings,JennGr00,143,119,10,2,0,77
48,Domata Peko,PekoDo20,171,156,11,0,0,77
49,Jordy Nelson,NelsJo00,121,73,8,1,0,75
50,Antonio Cromartie,CromAn20,162,137,11,4,1,74
51,A.J. Hawk,HawkA.20,159,147,11,0,0,74
52,Julio Jones,JoneJu02,79,78,6,4,2,74
53,Ryan Clady,CladRy20,107,106,8,4,2,73
54,Andy Dalton,DaltAn00,93,93,6,3,0,73
55,Johnathan Joseph,JoseJo20,156,145,11,2,0,73
56,Reggie Nelson,NelsRe99,154,141,10,2,0,73
57,Earl Thomas,ThomEa99,107,107,7,5,3,73
58,DeAngelo Williams,WillDe02,141,96,11,1,0,73
59,Reggie Bush,BushRe00,134,96,11,0,0,72
60,Antoine Bethea,BethAn20,162,162,11,3,0,71
61,Chris Chester,ChesCh21,169,143,11,0,0,71
62,Jamaal Charles,CharJa00,103,69,9,4,2,70
63,D'Brickashaw Ferguson,FergDB20,160,160,10,3,0,70
64,Ray Rice,RiceRa00,92,80,6,3,0,70
65,DeMeco Ryans,RyanDe20,140,139,10,2,0,70
66,Daryn Colledge,CollDa20,141,137,9,0,0,69
67,Brandon Mebane,MebaBr99,141,135,10,0,0,69
